Task ID, Task Name,Task Type,Task Priority,Offset,Duration min,Duration max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Aperiodic,15,0.000000,0.000300,0.000300,0.030000,0.030000,0.070000,0.030000,HARD,,
2,t02,Aperiodic,8,0.000000,0.001300,0.001300,0.060000,0.060000,0.100000,0.060000,HARD,,
3,t03,Aperiodic,6,0.000000,0.001500,0.001500,0.100000,0.100000,0.180000,0.100000,HARD,,
4,t04,Aperiodic,14,0.000000,0.003300,0.003300,0.030000,0.030000,0.050000,0.030000,HARD,,
5,t05,Periodic,25,0.000000,0.000400,0.000400,0.010000,,,0.010000,HARD,,
6,t06,Periodic,24,0.000000,0.000200,0.000200,0.010000,,,0.010000,HARD,,
7,t07,Periodic,23,0.000000,0.000100,0.000100,0.010000,,,0.010000,HARD,,
8,t08,Aperiodic,1,0.000000,0.014400,0.014400,0.600000,0.600000,1.000000,0.600000,HARD,,
9,t09,Aperiodic,13,0.000000,0.003300,0.003300,0.030000,0.030000,0.050000,0.030000,HARD,,
10,t10,Periodic,7,0.000000,0.003100,0.005300,0.090000,,,0.090000,HARD,,
11,t11,Periodic,22,0.000000,0.000400,0.000400,0.010000,,,0.010000,HARD,,
12,t12,Aperiodic,3,0.000000,0.001800,0.001800,0.300000,0.300000,0.500000,0.300000,HARD,,
13,t13,Periodic,21,0.000000,0.000100,0.000100,0.010000,,,0.010000,HARD,,
14,t14,Aperiodic,20,0.000000,0.000100,0.000100,0.010000,0.010000,0.030000,0.010000,HARD,,
15,t15,Periodic,19,0.000000,0.000200,0.000200,0.010000,,,0.010000,HARD,,
16,t16,Aperiodic,12,0.000000,0.000500,0.000500,0.030000,0.030000,0.070000,0.030000,HARD,,
17,t17,Periodic,18,0.000000,0.000500,0.000500,0.010000,,,0.010000,HARD,,
18,t18,Periodic,11,0.000000,0.000300,0.000300,0.030000,,,0.030000,HARD,,
19,t19,Periodic,17,0.000000,0.000400,0.000400,0.010000,,,0.010000,HARD,,
20,t20,Aperiodic,2,0.000000,0.040100,0.040100,0.360000,0.360000,0.600000,0.360000,HARD,,
21,t21,Periodic,16,0.000000,0.001300,0.001300,0.020000,,,0.020000,HARD,,
22,t22,Aperiodic,10,0.000000,0.005400,0.005400,0.030000,0.030000,0.050000,0.030000,HARD,,
23,t23,Aperiodic,4,0.000000,0.007200,0.012200,0.250000,0.250000,0.430000,0.250000,HARD,,
24,t24,Periodic,9,0.000000,0.000900,0.000900,0.030000,,,0.030000,HARD,,
25,t25,Aperiodic,5,0.000000,0.011000,0.011000,0.180000,0.180000,0.320000,0.180000,HARD,,

