Task ID, Task Name,Task Type,Task Priority,Offset,Duration min,Duration max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Periodic,1,0.000000,0.007400,0.007400,0.600000,,,0.600000,HARD,,
2,t02,Periodic,25,0.000000,0.000300,0.000300,0.010000,,,0.010000,HARD,,
3,t03,Periodic,2,0.000000,0.001400,0.001400,0.300000,,,0.300000,HARD,,
4,t04,Periodic,24,0.000000,0.000400,0.000400,0.010000,,,0.010000,HARD,,
5,t05,Aperiodic,3,0.000000,0.001100,0.001100,0.210000,0.210000,0.350000,0.210000,HARD,,
6,t06,Periodic,23,0.000000,0.000500,0.000500,0.010000,,,0.010000,HARD,,
7,t07,Periodic,10,0.000000,0.003900,0.003900,0.100000,,,0.100000,HARD,,
8,t08,Periodic,6,0.000000,0.001600,0.002800,0.180000,,,0.180000,HARD,,
9,t09,Periodic,12,0.000000,0.000200,0.000200,0.060000,,,0.060000,HARD,,
10,t10,Aperiodic,15,0.000000,0.000400,0.000400,0.030000,0.030000,0.050000,0.030000,HARD,,
11,t11,Periodic,18,0.000000,0.000100,0.000100,0.020000,,,0.020000,HARD,,
12,t12,Aperiodic,5,0.000000,0.003600,0.003600,0.180000,0.180000,0.300000,0.180000,HARD,,
13,t13,Periodic,9,0.000000,0.001200,0.001200,0.100000,,,0.100000,HARD,,
14,t14,Periodic,14,0.000000,0.000400,0.000400,0.030000,,,0.030000,HARD,,
15,t15,Periodic,13,0.000000,0.000400,0.000400,0.030000,,,0.030000,HARD,,
16,t16,Aperiodic,4,0.000000,0.032800,0.032800,0.180000,0.180000,0.320000,0.180000,HARD,,
17,t17,Aperiodic,8,0.000000,0.000200,0.000200,0.110000,0.110000,0.190000,0.110000,HARD,,
18,t18,Aperiodic,22,0.000000,0.001300,0.001300,0.010000,0.010000,0.030000,0.010000,HARD,,
19,t19,Periodic,21,0.000000,0.000200,0.000200,0.010000,,,0.010000,HARD,,
20,t20,Periodic,17,0.000000,0.000500,0.000500,0.020000,,,0.020000,HARD,,
21,t21,Aperiodic,7,0.000000,0.014500,0.014500,0.160000,0.160000,0.280000,0.160000,HARD,,
22,t22,Periodic,20,0.000000,0.000900,0.000900,0.010000,,,0.010000,HARD,,
23,t23,Periodic,19,0.000000,0.000800,0.000800,0.010000,,,0.010000,HARD,,
24,t24,Aperiodic,11,0.000000,0.001300,0.001300,0.060000,0.060000,0.120000,0.060000,HARD,,
25,t25,Periodic,16,0.000000,0.002100,0.003700,0.020000,,,0.020000,HARD,,

