Task ID, Task Name,Task Type,Task Priority,Offset,Duration min,Duration max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Aperiodic,1,0.000000,0.014600,0.024400,0.260000,0.260000,0.440000,0.260000,HARD,,
2,t02,Periodic,18,0.000000,0.001800,0.001800,0.020000,,,0.020000,HARD,,
3,t03,Aperiodic,2,0.000000,0.006800,0.006800,0.220000,0.220000,0.380000,0.220000,HARD,,
4,t04,Periodic,10,0.000000,0.000800,0.000800,0.080000,,,0.080000,HARD,,
5,t05,Periodic,17,0.000000,0.000200,0.000200,0.020000,,,0.020000,HARD,,
6,t06,Periodic,12,0.000000,0.003700,0.003700,0.040000,,,0.040000,HARD,,
7,t07,Aperiodic,11,0.000000,0.001500,0.001500,0.060000,0.060000,0.120000,0.060000,HARD,,
8,t08,Periodic,20,0.000000,0.000100,0.000100,0.010000,,,0.010000,HARD,,
9,t09,Aperiodic,13,0.000000,0.005100,0.005100,0.030000,0.030000,0.070000,0.030000,HARD,,
10,t10,Aperiodic,16,0.000000,0.000400,0.000400,0.020000,0.020000,0.040000,0.020000,HARD,,
11,t11,Aperiodic,8,0.000000,0.018400,0.018400,0.150000,0.150000,0.250000,0.150000,HARD,,
12,t12,Periodic,15,0.000000,0.001000,0.001000,0.020000,,,0.020000,HARD,,
13,t13,Aperiodic,5,0.000000,0.036300,0.036300,0.180000,0.180000,0.320000,0.180000,HARD,,
14,t14,Periodic,19,0.000000,0.000200,0.000200,0.010000,,,0.010000,HARD,,
15,t15,Aperiodic,9,0.000000,0.001200,0.001200,0.110000,0.110000,0.190000,0.110000,HARD,,
16,t16,Aperiodic,4,0.000000,0.002500,0.004300,0.200000,0.200000,0.340000,0.200000,HARD,,
17,t17,Periodic,7,0.000000,0.015200,0.015200,0.150000,,,0.150000,HARD,,
18,t18,Periodic,6,0.000000,0.001200,0.001200,0.160000,,,0.160000,HARD,,
19,t19,Periodic,14,0.000000,0.000800,0.000800,0.020000,,,0.020000,HARD,,
20,t20,Aperiodic,3,0.000000,0.001400,0.001400,0.210000,0.210000,0.350000,0.210000,HARD,,

