Task ID, Task Name,Task Type,Task Priority,Offset,Duration min,Duration max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Periodic,15,0.000000,0.001300,0.001300,0.020000,,,0.020000,HARD,,
2,t02,Aperiodic,8,0.000000,0.002300,0.002300,0.100000,0.100000,0.180000,0.100000,HARD,,
3,t03,Periodic,3,0.000000,0.035600,0.035600,0.350000,,,0.350000,HARD,,
4,t04,Aperiodic,9,0.000000,0.001900,0.001900,0.080000,0.080000,0.140000,0.080000,HARD,,
5,t05,Periodic,14,0.000000,0.000600,0.000600,0.020000,,,0.020000,HARD,,
6,t06,Aperiodic,11,0.000000,0.007000,0.007000,0.060000,0.060000,0.120000,0.060000,HARD,,
7,t07,Aperiodic,7,0.000000,0.012900,0.012900,0.180000,0.180000,0.300000,0.180000,HARD,,
8,t08,Aperiodic,12,0.000000,0.003500,0.003500,0.050000,0.050000,0.090000,0.050000,HARD,,
9,t09,Periodic,20,0.000000,0.000700,0.000700,0.010000,,,0.010000,HARD,,
10,t10,Periodic,19,0.000000,0.000100,0.000100,0.010000,,,0.010000,HARD,,
11,t11,Aperiodic,10,0.000000,0.002500,0.002500,0.060000,0.060000,0.120000,0.060000,HARD,,
12,t12,Aperiodic,2,0.000000,0.016300,0.016300,0.360000,0.360000,0.600000,0.360000,HARD,,
13,t13,Aperiodic,6,0.000000,0.000100,0.000100,0.200000,0.200000,0.340000,0.200000,HARD,,
14,t14,Periodic,18,0.000000,0.000900,0.000900,0.010000,,,0.010000,HARD,,
15,t15,Periodic,17,0.000000,0.000900,0.001500,0.010000,,,0.010000,HARD,,
16,t16,Periodic,13,0.000000,0.001300,0.002300,0.040000,,,0.040000,HARD,,
17,t17,Periodic,5,0.000000,0.007500,0.007500,0.200000,,,0.200000,HARD,,
18,t18,Aperiodic,1,0.000000,0.016700,0.016700,0.550000,0.550000,0.930000,0.550000,HARD,,
19,t19,Periodic,16,0.000000,0.000100,0.000100,0.010000,,,0.010000,HARD,,
20,t20,Aperiodic,4,0.000000,0.011900,0.011900,0.270000,0.270000,0.450000,0.270000,HARD,,

