Task ID, Task Name,Task Type,Task Priority,Offset,Duration min,Duration max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Periodic,25,0.000000,0.000800,0.000800,0.010000,,,0.010000,HARD,,
2,t02,Aperiodic,5,0.000000,0.008700,0.008700,0.210000,0.210000,0.350000,0.210000,HARD,,
3,t03,Periodic,24,0.000000,0.000100,0.000100,0.010000,,,0.010000,HARD,,
4,t04,Aperiodic,3,0.000000,0.001900,0.001900,0.420000,0.420000,0.720000,0.420000,HARD,,
5,t05,Periodic,23,0.000000,0.000300,0.000300,0.010000,,,0.010000,HARD,,
6,t06,Periodic,22,0.000000,0.000100,0.000100,0.010000,,,0.010000,HARD,,
7,t07,Periodic,11,0.000000,0.000600,0.000600,0.090000,,,0.090000,HARD,,
8,t08,Aperiodic,12,0.000000,0.001100,0.001100,0.070000,0.070000,0.130000,0.070000,HARD,,
9,t09,Aperiodic,8,0.000000,0.030800,0.030800,0.140000,0.140000,0.240000,0.140000,HARD,,
10,t10,Aperiodic,1,0.000000,0.049100,0.049100,0.740000,0.740000,1.240000,0.740000,HARD,,
11,t11,Aperiodic,6,0.000000,0.001100,0.001100,0.190000,0.190000,0.330000,0.190000,HARD,,
12,t12,Aperiodic,4,0.000000,0.009100,0.009100,0.350000,0.350000,0.590000,0.350000,HARD,,
13,t13,Periodic,21,0.000000,0.000100,0.000100,0.010000,,,0.010000,HARD,,
14,t14,Aperiodic,7,0.000000,0.000600,0.000600,0.160000,0.160000,0.280000,0.160000,HARD,,
15,t15,Aperiodic,9,0.000000,0.000600,0.000600,0.130000,0.130000,0.230000,0.130000,HARD,,
16,t16,Periodic,16,0.000000,0.001400,0.001400,0.020000,,,0.020000,HARD,,
17,t17,Aperiodic,15,0.000000,0.000800,0.001400,0.030000,0.030000,0.070000,0.030000,HARD,,
18,t18,Aperiodic,10,0.000000,0.006700,0.006700,0.120000,0.120000,0.200000,0.120000,HARD,,
19,t19,Periodic,20,0.000000,0.000200,0.000200,0.010000,,,0.010000,HARD,,
20,t20,Aperiodic,13,0.000000,0.001300,0.001300,0.040000,0.040000,0.080000,0.040000,HARD,,
21,t21,Periodic,19,0.000000,0.000700,0.001300,0.010000,,,0.010000,HARD,,
22,t22,Aperiodic,14,0.000000,0.000200,0.000200,0.030000,0.030000,0.050000,0.030000,HARD,,
23,t23,Periodic,18,0.000000,0.000400,0.000400,0.010000,,,0.010000,HARD,,
24,t24,Periodic,17,0.000000,0.000400,0.000400,0.010000,,,0.010000,HARD,,
25,t25,Periodic,2,0.000000,0.059300,0.059300,0.480000,,,0.480000,HARD,,

