Task ID, Task Name,Task Type,Task Priority,Offset,Duration min,Duration max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Periodic,15,0.000000,0.002800,0.002800,0.070000,,,0.070000,HARD,,
2,t02,Aperiodic,25,0.000000,0.000500,0.000500,0.010000,0.010000,0.030000,0.010000,HARD,,
3,t03,Aperiodic,5,0.000000,0.002800,0.002800,0.400000,0.400000,0.680000,0.400000,HARD,,
4,t04,Aperiodic,24,0.000000,0.001800,0.001800,0.010000,0.010000,0.030000,0.010000,HARD,,
5,t05,Aperiodic,2,0.000000,0.103100,0.103100,0.750000,0.750000,1.250000,0.750000,HARD,,
6,t06,Periodic,11,0.000000,0.003700,0.003700,0.120000,,,0.120000,HARD,,
7,t07,Aperiodic,7,0.000000,0.005100,0.005100,0.300000,0.300000,0.500000,0.300000,HARD,,
8,t08,Aperiodic,10,0.000000,0.001800,0.003200,0.130000,0.130000,0.230000,0.130000,HARD,,
9,t09,Periodic,23,0.000000,0.000100,0.000100,0.010000,,,0.010000,HARD,,
10,t10,Periodic,21,0.000000,0.001000,0.001000,0.030000,,,0.030000,HARD,,
11,t11,Periodic,13,0.000000,0.000800,0.000800,0.100000,,,0.100000,HARD,,
12,t12,Periodic,6,0.000000,0.007900,0.007900,0.350000,,,0.350000,HARD,,
13,t13,Periodic,1,0.000000,0.020500,0.020500,0.840000,,,0.840000,HARD,,
14,t14,Aperiodic,12,0.000000,0.003500,0.003500,0.100000,0.100000,0.180000,0.100000,HARD,,
15,t15,Aperiodic,18,0.000000,0.002900,0.002900,0.050000,0.050000,0.090000,0.050000,HARD,,
16,t16,Periodic,17,0.000000,0.000400,0.000400,0.050000,,,0.050000,HARD,,
17,t17,Aperiodic,3,0.000000,0.125200,0.125200,0.600000,0.600000,1.020000,0.600000,HARD,,
18,t18,Aperiodic,20,0.000000,0.000100,0.000100,0.030000,0.030000,0.070000,0.030000,HARD,,
19,t19,Aperiodic,22,0.000000,0.001500,0.001500,0.020000,0.020000,0.040000,0.020000,HARD,,
20,t20,Periodic,4,0.000000,0.004900,0.004900,0.420000,,,0.420000,HARD,,
21,t21,Aperiodic,8,0.000000,0.011400,0.011400,0.160000,0.160000,0.280000,0.160000,HARD,,
22,t22,Periodic,14,0.000000,0.000800,0.000800,0.090000,,,0.090000,HARD,,
23,t23,Aperiodic,9,0.000000,0.011400,0.011400,0.150000,0.150000,0.270000,0.150000,HARD,,
24,t24,Periodic,16,0.000000,0.000700,0.001300,0.060000,,,0.060000,HARD,,
25,t25,Periodic,19,0.000000,0.001700,0.001700,0.030000,,,0.030000,HARD,,

