Task ID, Task Name,Task Type,Task Priority,Offset,Duration min,Duration max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Periodic,20,0.000000,0.000100,0.000100,0.020000,,,0.020000,HARD,,
2,t02,Aperiodic,1,0.000000,0.049400,0.049400,0.720000,0.720000,1.220000,0.720000,HARD,,
3,t03,Periodic,14,0.000000,0.005200,0.005200,0.050000,,,0.050000,HARD,,
4,t04,Aperiodic,9,0.000000,0.002500,0.004300,0.140000,0.140000,0.240000,0.140000,HARD,,
5,t05,Periodic,6,0.000000,0.005600,0.005600,0.390000,,,0.390000,HARD,,
6,t06,Aperiodic,19,0.000000,0.000100,0.000100,0.020000,0.020000,0.040000,0.020000,HARD,,
7,t07,Periodic,25,0.000000,0.000600,0.000600,0.010000,,,0.010000,HARD,,
8,t08,Aperiodic,15,0.000000,0.003300,0.003300,0.040000,0.040000,0.080000,0.040000,HARD,,
9,t09,Periodic,13,0.000000,0.002200,0.002200,0.050000,,,0.050000,HARD,,
10,t10,Aperiodic,4,0.000000,0.018200,0.018200,0.530000,0.530000,0.890000,0.530000,HARD,,
11,t11,Aperiodic,10,0.000000,0.000400,0.000400,0.080000,0.080000,0.140000,0.080000,HARD,,
12,t12,Periodic,18,0.000000,0.000100,0.000100,0.020000,,,0.020000,HARD,,
13,t13,Aperiodic,5,0.000000,0.007500,0.007500,0.400000,0.400000,0.680000,0.400000,HARD,,
14,t14,Periodic,24,0.000000,0.000900,0.000900,0.010000,,,0.010000,HARD,,
15,t15,Aperiodic,3,0.000000,0.018400,0.018400,0.690000,0.690000,1.170000,0.690000,HARD,,
16,t16,Periodic,23,0.000000,0.000200,0.000200,0.010000,,,0.010000,HARD,,
17,t17,Aperiodic,17,0.000000,0.001300,0.001300,0.020000,0.020000,0.040000,0.020000,HARD,,
18,t18,Periodic,16,0.000000,0.001800,0.001800,0.020000,,,0.020000,HARD,,
19,t19,Aperiodic,8,0.000000,0.002700,0.002700,0.200000,0.200000,0.340000,0.200000,HARD,,
20,t20,Periodic,11,0.000000,0.001800,0.001800,0.060000,,,0.060000,HARD,,
21,t21,Aperiodic,12,0.000000,0.003100,0.003100,0.050000,0.050000,0.090000,0.050000,HARD,,
22,t22,Periodic,22,0.000000,0.000100,0.000100,0.010000,,,0.010000,HARD,,
23,t23,Aperiodic,2,0.000000,0.053400,0.089000,0.690000,0.690000,1.150000,0.690000,HARD,,
24,t24,Periodic,21,0.000000,0.000300,0.000300,0.010000,,,0.010000,HARD,,
25,t25,Aperiodic,7,0.000000,0.010800,0.010800,0.320000,0.320000,0.540000,0.320000,HARD,,

