Task ID, Task Name,Task Type,Task Priority,Offset,Duration min,Duration max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Aperiodic,6,0.000000,0.009600,0.016000,0.270000,0.270000,0.450000,0.270000,HARD,,
2,t02,Aperiodic,25,0.000000,0.002400,0.002400,0.010000,0.010000,0.030000,0.010000,HARD,,
3,t03,Aperiodic,7,0.000000,0.006000,0.006000,0.200000,0.200000,0.340000,0.200000,HARD,,
4,t04,Periodic,14,0.000000,0.002300,0.003900,0.060000,,,0.060000,HARD,,
5,t05,Periodic,24,0.000000,0.000500,0.000500,0.010000,,,0.010000,HARD,,
6,t06,Periodic,23,0.000000,0.000200,0.000200,0.010000,,,0.010000,HARD,,
7,t07,Aperiodic,5,0.000000,0.030800,0.030800,0.440000,0.440000,0.740000,0.440000,HARD,,
8,t08,Aperiodic,9,0.000000,0.010000,0.010000,0.140000,0.140000,0.240000,0.140000,HARD,,
9,t09,Periodic,22,0.000000,0.000200,0.000400,0.010000,,,0.010000,HARD,,
10,t10,Periodic,21,0.000000,0.000400,0.000400,0.010000,,,0.010000,HARD,,
11,t11,Aperiodic,2,0.000000,0.003600,0.006000,0.630000,0.630000,1.050000,0.630000,HARD,,
12,t12,Aperiodic,8,0.000000,0.013200,0.013200,0.140000,0.140000,0.240000,0.140000,HARD,,
13,t13,Aperiodic,17,0.000000,0.000500,0.000500,0.030000,0.030000,0.070000,0.030000,HARD,,
14,t14,Aperiodic,1,0.000000,0.089900,0.089900,0.690000,0.690000,1.150000,0.690000,HARD,,
15,t15,Periodic,20,0.000000,0.000200,0.000200,0.010000,,,0.010000,HARD,,
16,t16,Aperiodic,16,0.000000,0.000800,0.000800,0.030000,0.030000,0.050000,0.030000,HARD,,
17,t17,Periodic,13,0.000000,0.004400,0.004400,0.060000,,,0.060000,HARD,,
18,t18,Periodic,18,0.000000,0.000800,0.000800,0.020000,,,0.020000,HARD,,
19,t19,Aperiodic,19,0.000000,0.000400,0.000400,0.010000,0.010000,0.030000,0.010000,HARD,,
20,t20,Aperiodic,3,0.000000,0.024700,0.024700,0.580000,0.580000,0.980000,0.580000,HARD,,
21,t21,Periodic,11,0.000000,0.000200,0.000200,0.070000,,,0.070000,HARD,,
22,t22,Periodic,15,0.000000,0.000100,0.000100,0.030000,,,0.030000,HARD,,
23,t23,Aperiodic,4,0.000000,0.011100,0.011100,0.560000,0.560000,0.940000,0.560000,HARD,,
24,t24,Periodic,12,0.000000,0.000400,0.000400,0.060000,,,0.060000,HARD,,
25,t25,Periodic,10,0.000000,0.000100,0.000100,0.110000,,,0.110000,HARD,,

