Task ID, Task Name,Task Type,Task Priority,Offset,Duration min,Duration max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Periodic,33,0.000000,0.000100,0.000100,0.030000,,,0.030000,HARD,,
2,t02,Aperiodic,14,0.000000,0.010000,0.010000,0.230000,0.230000,0.390000,0.230000,HARD,,
3,t03,Aperiodic,9,0.000000,0.003900,0.003900,0.370000,0.370000,0.630000,0.370000,HARD,,
4,t04,Periodic,26,0.000000,0.002500,0.002500,0.050000,,,0.050000,HARD,,
5,t05,Aperiodic,2,0.000000,0.002000,0.002000,0.570000,0.570000,0.950000,0.570000,HARD,,
6,t06,Aperiodic,3,0.000000,0.002000,0.002000,0.530000,0.530000,0.890000,0.530000,HARD,,
7,t07,Aperiodic,12,0.000000,0.002300,0.002300,0.330000,0.330000,0.570000,0.330000,HARD,,
8,t08,Periodic,19,0.000000,0.009300,0.009300,0.100000,,,0.100000,HARD,,
9,t09,Aperiodic,17,0.000000,0.006300,0.006300,0.120000,0.120000,0.220000,0.120000,HARD,,
10,t10,Periodic,4,0.000000,0.009000,0.009000,0.480000,,,0.480000,HARD,,
11,t11,Aperiodic,32,0.000000,0.000300,0.000300,0.030000,0.030000,0.070000,0.030000,HARD,,
12,t12,Periodic,45,0.000000,0.000100,0.000100,0.010000,,,0.010000,HARD,,
13,t13,Aperiodic,1,0.000000,0.023500,0.023500,0.660000,0.660000,1.100000,0.660000,HARD,,
14,t14,Aperiodic,44,0.000000,0.000100,0.000100,0.010000,0.010000,0.030000,0.010000,HARD,,
15,t15,Aperiodic,43,0.000000,0.000200,0.000200,0.010000,0.010000,0.030000,0.010000,HARD,,
16,t16,Periodic,42,0.000000,0.000300,0.000300,0.010000,,,0.010000,HARD,,
17,t17,Aperiodic,5,0.000000,0.014200,0.014200,0.430000,0.430000,0.730000,0.430000,HARD,,
18,t18,Aperiodic,8,0.000000,0.001100,0.001100,0.380000,0.380000,0.640000,0.380000,HARD,,
19,t19,Aperiodic,31,0.000000,0.000400,0.000400,0.030000,0.030000,0.070000,0.030000,HARD,,
20,t20,Aperiodic,25,0.000000,0.001600,0.001600,0.070000,0.070000,0.130000,0.070000,HARD,,
21,t21,Aperiodic,30,0.000000,0.000300,0.000300,0.030000,0.030000,0.050000,0.030000,HARD,,
22,t22,Periodic,13,0.000000,0.002100,0.002100,0.240000,,,0.240000,HARD,,
23,t23,Periodic,28,0.000000,0.002500,0.002500,0.040000,,,0.040000,HARD,,
24,t24,Periodic,23,0.000000,0.000500,0.000500,0.080000,,,0.080000,HARD,,
25,t25,Periodic,41,0.000000,0.000100,0.000100,0.010000,,,0.010000,HARD,,
26,t26,Periodic,40,0.000000,0.000100,0.000300,0.010000,,,0.010000,HARD,,
27,t27,Periodic,22,0.000000,0.001500,0.001500,0.080000,,,0.080000,HARD,,
28,t28,Periodic,34,0.000000,0.000200,0.000200,0.020000,,,0.020000,HARD,,
29,t29,Aperiodic,27,0.000000,0.000100,0.000100,0.040000,0.040000,0.080000,0.040000,HARD,,
30,t30,Aperiodic,6,0.000000,0.010900,0.010900,0.420000,0.420000,0.700000,0.420000,HARD,,
31,t31,Periodic,29,0.000000,0.000600,0.000600,0.030000,,,0.030000,HARD,,
32,t32,Periodic,39,0.000000,0.000100,0.000100,0.010000,,,0.010000,HARD,,
33,t33,Aperiodic,7,0.000000,0.001400,0.001400,0.390000,0.390000,0.650000,0.390000,HARD,,
34,t34,Aperiodic,11,0.000000,0.013700,0.013700,0.340000,0.340000,0.580000,0.340000,HARD,,
35,t35,Periodic,21,0.000000,0.001900,0.001900,0.080000,,,0.080000,HARD,,
36,t36,Aperiodic,24,0.000000,0.001500,0.002500,0.070000,0.070000,0.130000,0.070000,HARD,,
37,t37,Periodic,38,0.000000,0.000100,0.000100,0.010000,,,0.010000,HARD,,
38,t38,Periodic,18,0.000000,0.004800,0.004800,0.100000,,,0.100000,HARD,,
39,t39,Periodic,16,0.000000,0.001500,0.001500,0.150000,,,0.150000,HARD,,
40,t40,Aperiodic,10,0.000000,0.003800,0.003800,0.350000,0.350000,0.590000,0.350000,HARD,,
41,t41,Aperiodic,15,0.000000,0.004500,0.004500,0.190000,0.190000,0.330000,0.190000,HARD,,
42,t42,Periodic,37,0.000000,0.000300,0.000300,0.010000,,,0.010000,HARD,,
43,t43,Periodic,36,0.000000,0.000500,0.000500,0.010000,,,0.010000,HARD,,
44,t44,Aperiodic,20,0.000000,0.003000,0.003000,0.090000,0.090000,0.150000,0.090000,HARD,,
45,t45,Periodic,35,0.000000,0.000500,0.000500,0.010000,,,0.010000,HARD,,

