Task ID, Task Name,Task Type,Task Priority,Offset,Duration min,Duration max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Periodic,25,0.000000,0.000700,0.000700,0.010000,,,0.010000,HARD,,
2,t02,Aperiodic,3,0.000000,0.049200,0.049200,0.430000,0.430000,0.730000,0.430000,HARD,,
3,t03,Aperiodic,2,0.000000,0.043000,0.071800,0.530000,0.530000,0.890000,0.530000,HARD,,
4,t04,Aperiodic,8,0.000000,0.006200,0.006200,0.190000,0.190000,0.330000,0.190000,HARD,,
5,t05,Periodic,24,0.000000,0.000200,0.000200,0.010000,,,0.010000,HARD,,
6,t06,Aperiodic,14,0.000000,0.003500,0.003500,0.060000,0.060000,0.120000,0.060000,HARD,,
7,t07,Aperiodic,5,0.000000,0.007700,0.007700,0.240000,0.240000,0.420000,0.240000,HARD,,
8,t08,Periodic,13,0.000000,0.000600,0.000600,0.070000,,,0.070000,HARD,,
9,t09,Aperiodic,12,0.000000,0.003400,0.003400,0.110000,0.110000,0.190000,0.110000,HARD,,
10,t10,Aperiodic,11,0.000000,0.007800,0.007800,0.110000,0.110000,0.190000,0.110000,HARD,,
11,t11,Periodic,23,0.000000,0.000200,0.000200,0.010000,,,0.010000,HARD,,
12,t12,Aperiodic,7,0.000000,0.008900,0.008900,0.200000,0.200000,0.340000,0.200000,HARD,,
13,t13,Periodic,22,0.000000,0.000200,0.000200,0.010000,,,0.010000,HARD,,
14,t14,Periodic,18,0.000000,0.001100,0.001100,0.020000,,,0.020000,HARD,,
15,t15,Periodic,16,0.000000,0.000800,0.000800,0.030000,,,0.030000,HARD,,
16,t16,Aperiodic,4,0.000000,0.007100,0.007100,0.250000,0.250000,0.430000,0.250000,HARD,,
17,t17,Aperiodic,15,0.000000,0.000800,0.000800,0.040000,0.040000,0.080000,0.040000,HARD,,
18,t18,Aperiodic,21,0.000000,0.000100,0.000100,0.010000,0.010000,0.030000,0.010000,HARD,,
19,t19,Aperiodic,1,0.000000,0.031400,0.031400,0.660000,0.660000,1.100000,0.660000,HARD,,
20,t20,Periodic,17,0.000000,0.000100,0.000100,0.020000,,,0.020000,HARD,,
21,t21,Periodic,10,0.000000,0.003900,0.006700,0.110000,,,0.110000,HARD,,
22,t22,Periodic,20,0.000000,0.000300,0.000300,0.010000,,,0.010000,HARD,,
23,t23,Periodic,19,0.000000,0.000500,0.000500,0.010000,,,0.010000,HARD,,
24,t24,Aperiodic,6,0.000000,0.002500,0.002500,0.210000,0.210000,0.350000,0.210000,HARD,,
25,t25,Periodic,9,0.000000,0.011500,0.011500,0.110000,,,0.110000,HARD,,

