Task ID, Task Name,Task Type,Task Priority,Offset,Duration min,Duration max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Aperiodic,1,0.000000,0.018100,0.018100,0.710000,0.710000,1.190000,0.710000,HARD,,
2,t02,Periodic,9,0.000000,0.000800,0.000800,0.080000,,,0.080000,HARD,,
3,t03,Periodic,6,0.000000,0.002100,0.002100,0.190000,,,0.190000,HARD,,
4,t04,Periodic,25,0.000000,0.000400,0.000800,0.010000,,,0.010000,HARD,,
5,t05,Aperiodic,10,0.000000,0.004800,0.004800,0.060000,0.060000,0.120000,0.060000,HARD,,
6,t06,Aperiodic,24,0.000000,0.000100,0.000100,0.010000,0.010000,0.030000,0.010000,HARD,,
7,t07,Periodic,23,0.000000,0.000100,0.000100,0.010000,,,0.010000,HARD,,
8,t08,Periodic,14,0.000000,0.002600,0.002600,0.020000,,,0.020000,HARD,,
9,t09,Aperiodic,13,0.000000,0.000100,0.000100,0.020000,0.020000,0.040000,0.020000,HARD,,
10,t10,Periodic,22,0.000000,0.000400,0.000400,0.010000,,,0.010000,HARD,,
11,t11,Aperiodic,3,0.000000,0.050100,0.050100,0.500000,0.500000,0.840000,0.500000,HARD,,
12,t12,Aperiodic,11,0.000000,0.001700,0.001700,0.050000,0.050000,0.090000,0.050000,HARD,,
13,t13,Periodic,5,0.000000,0.006900,0.011700,0.240000,,,0.240000,HARD,,
14,t14,Aperiodic,2,0.000000,0.009600,0.009600,0.640000,0.640000,1.080000,0.640000,HARD,,
15,t15,Aperiodic,8,0.000000,0.007400,0.007400,0.140000,0.140000,0.240000,0.140000,HARD,,
16,t16,Periodic,21,0.000000,0.000400,0.000400,0.010000,,,0.010000,HARD,,
17,t17,Periodic,20,0.000000,0.000400,0.000400,0.010000,,,0.010000,HARD,,
18,t18,Periodic,19,0.000000,0.000100,0.000100,0.010000,,,0.010000,HARD,,
19,t19,Aperiodic,18,0.000000,0.000200,0.000200,0.010000,0.010000,0.030000,0.010000,HARD,,
20,t20,Periodic,17,0.000000,0.000600,0.000600,0.010000,,,0.010000,HARD,,
21,t21,Aperiodic,4,0.000000,0.041700,0.041700,0.380000,0.380000,0.640000,0.380000,HARD,,
22,t22,Periodic,16,0.000000,0.000800,0.000800,0.010000,,,0.010000,HARD,,
23,t23,Aperiodic,15,0.000000,0.000400,0.000400,0.010000,0.010000,0.030000,0.010000,HARD,,
24,t24,Aperiodic,12,0.000000,0.000900,0.000900,0.030000,0.030000,0.070000,0.030000,HARD,,
25,t25,Aperiodic,7,0.000000,0.001300,0.001300,0.170000,0.170000,0.290000,0.170000,HARD,,

