Task ID, Task Name,Task Type,Task Priority,Offset,Duration min,Duration max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Aperiodic,1,0.000000,0.000300,0.000300,0.670000,0.670000,1.130000,0.670000,HARD,,
2,t02,Aperiodic,12,0.000000,0.001900,0.001900,0.140000,0.140000,0.240000,0.140000,HARD,,
3,t03,Periodic,3,0.000000,0.005900,0.009900,0.480000,,,0.480000,HARD,,
4,t04,Aperiodic,25,0.000000,0.000600,0.000600,0.010000,0.010000,0.030000,0.010000,HARD,,
5,t05,Aperiodic,19,0.000000,0.001200,0.001200,0.030000,0.030000,0.050000,0.030000,HARD,,
6,t06,Periodic,24,0.000000,0.000100,0.000100,0.010000,,,0.010000,HARD,,
7,t07,Periodic,7,0.000000,0.021200,0.021200,0.300000,,,0.300000,HARD,,
8,t08,Periodic,20,0.000000,0.001200,0.002200,0.020000,,,0.020000,HARD,,
9,t09,Periodic,11,0.000000,0.006300,0.006300,0.150000,,,0.150000,HARD,,
10,t10,Periodic,16,0.000000,0.000900,0.000900,0.060000,,,0.060000,HARD,,
11,t11,Aperiodic,8,0.000000,0.001900,0.001900,0.240000,0.240000,0.400000,0.240000,HARD,,
12,t12,Aperiodic,2,0.000000,0.005100,0.005100,0.560000,0.560000,0.940000,0.560000,HARD,,
13,t13,Aperiodic,18,0.000000,0.001900,0.001900,0.030000,0.030000,0.050000,0.030000,HARD,,
14,t14,Periodic,10,0.000000,0.003300,0.005500,0.150000,,,0.150000,HARD,,
15,t15,Aperiodic,14,0.000000,0.001600,0.001600,0.070000,0.070000,0.130000,0.070000,HARD,,
16,t16,Periodic,23,0.000000,0.000200,0.000200,0.010000,,,0.010000,HARD,,
17,t17,Periodic,5,0.000000,0.001200,0.001200,0.400000,,,0.400000,HARD,,
18,t18,Periodic,22,0.000000,0.001500,0.001500,0.010000,,,0.010000,HARD,,
19,t19,Aperiodic,13,0.000000,0.000900,0.000900,0.120000,0.120000,0.220000,0.120000,HARD,,
20,t20,Aperiodic,9,0.000000,0.027000,0.027000,0.150000,0.150000,0.270000,0.150000,HARD,,
21,t21,Periodic,15,0.000000,0.000200,0.000400,0.060000,,,0.060000,HARD,,
22,t22,Aperiodic,4,0.000000,0.022300,0.037300,0.410000,0.410000,0.690000,0.410000,HARD,,
23,t23,Aperiodic,6,0.000000,0.001600,0.002800,0.300000,0.300000,0.500000,0.300000,HARD,,
24,t24,Periodic,21,0.000000,0.000400,0.000400,0.010000,,,0.010000,HARD,,
25,t25,Aperiodic,17,0.000000,0.005700,0.005700,0.050000,0.050000,0.090000,0.050000,HARD,,

