Task ID, Task Name,Task Type,Task Priority,Offset,Duration min,Duration max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Aperiodic,15,0.000000,0.009300,0.009300,0.030000,0.030000,0.050000,0.030000,HARD,,
2,t02,Aperiodic,14,0.000000,0.023800,0.023800,0.030000,0.030000,0.050000,0.030000,HARD,,
3,t03,Periodic,5,0.000000,0.011200,0.011200,0.240000,,,0.240000,HARD,,
4,t04,Aperiodic,1,0.000000,0.189400,0.189400,0.710000,0.710000,1.190000,0.710000,HARD,,
5,t05,Aperiodic,4,0.000000,0.054600,0.054600,0.360000,0.360000,0.600000,0.360000,HARD,,
6,t06,Aperiodic,3,0.000000,0.132500,0.132500,0.490000,0.490000,0.830000,0.490000,HARD,,
7,t07,Aperiodic,12,0.000000,0.020500,0.020500,0.060000,0.060000,0.120000,0.060000,HARD,,
8,t08,Periodic,6,0.000000,0.093400,0.093400,0.200000,,,0.200000,HARD,,
9,t09,Periodic,25,0.000000,0.008100,0.008100,0.010000,,,0.010000,HARD,,
10,t10,Periodic,24,0.000000,0.006600,0.006600,0.010000,,,0.010000,HARD,,
11,t11,Aperiodic,10,0.000000,0.041100,0.041100,0.090000,0.090000,0.150000,0.090000,HARD,,
12,t12,Periodic,23,0.000000,0.004500,0.004500,0.010000,,,0.010000,HARD,,
13,t13,Aperiodic,17,0.000000,0.015800,0.015800,0.020000,0.020000,0.040000,0.020000,HARD,,
14,t14,Periodic,16,0.000000,0.011800,0.011800,0.020000,,,0.020000,HARD,,
15,t15,Aperiodic,22,0.000000,0.002700,0.004500,0.010000,0.010000,0.030000,0.010000,HARD,,
16,t16,Periodic,21,0.000000,0.002400,0.002400,0.010000,,,0.010000,HARD,,
17,t17,Aperiodic,2,0.000000,0.078900,0.078900,0.630000,0.630000,1.070000,0.630000,HARD,,
18,t18,Periodic,20,0.000000,0.007600,0.007600,0.010000,,,0.010000,HARD,,
19,t19,Aperiodic,9,0.000000,0.021300,0.035700,0.090000,0.090000,0.150000,0.090000,HARD,,
20,t20,Periodic,19,0.000000,0.003200,0.003200,0.010000,,,0.010000,HARD,,
21,t21,Periodic,11,0.000000,0.068700,0.068700,0.080000,,,0.080000,HARD,,
22,t22,Periodic,13,0.000000,0.007100,0.007100,0.030000,,,0.030000,HARD,,
23,t23,Periodic,18,0.000000,0.000500,0.000500,0.010000,,,0.010000,HARD,,
24,t24,Aperiodic,7,0.000000,0.040800,0.040800,0.120000,0.120000,0.220000,0.120000,HARD,,
25,t25,Aperiodic,8,0.000000,0.046900,0.046900,0.100000,0.100000,0.180000,0.100000,HARD,,

