Task ID, Task Name,Task Type,Task Priority,Offset,Duration min,Duration max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Aperiodic,1,0.000000,0.253700,0.422900,0.620000,0.620000,1.040000,0.620000,HARD,,
2,t02,Aperiodic,16,0.000000,0.007700,0.007700,0.030000,0.030000,0.050000,0.030000,HARD,,
3,t03,Aperiodic,10,0.000000,0.007000,0.007000,0.090000,0.090000,0.150000,0.090000,HARD,,
4,t04,Aperiodic,15,0.000000,0.000200,0.000200,0.030000,0.030000,0.050000,0.030000,HARD,,
5,t05,Periodic,3,0.000000,0.058900,0.058900,0.330000,,,0.330000,HARD,,
6,t06,Periodic,25,0.000000,0.007800,0.007800,0.010000,,,0.010000,HARD,,
7,t07,Periodic,14,0.000000,0.016100,0.016100,0.030000,,,0.030000,HARD,,
8,t08,Aperiodic,24,0.000000,0.000200,0.000200,0.010000,0.010000,0.030000,0.010000,HARD,,
9,t09,Periodic,23,0.000000,0.002000,0.002000,0.010000,,,0.010000,HARD,,
10,t10,Periodic,22,0.000000,0.004800,0.004800,0.010000,,,0.010000,HARD,,
11,t11,Aperiodic,7,0.000000,0.049400,0.049400,0.160000,0.160000,0.280000,0.160000,HARD,,
12,t12,Aperiodic,2,0.000000,0.031100,0.031100,0.380000,0.380000,0.640000,0.380000,HARD,,
13,t13,Periodic,5,0.000000,0.000200,0.000200,0.210000,,,0.210000,HARD,,
14,t14,Periodic,21,0.000000,0.004700,0.004700,0.010000,,,0.010000,HARD,,
15,t15,Aperiodic,4,0.000000,0.048900,0.081700,0.270000,0.270000,0.450000,0.270000,HARD,,
16,t16,Aperiodic,20,0.000000,0.002000,0.002000,0.010000,0.010000,0.030000,0.010000,HARD,,
17,t17,Aperiodic,12,0.000000,0.001700,0.001700,0.050000,0.050000,0.090000,0.050000,HARD,,
18,t18,Periodic,18,0.000000,0.002600,0.002600,0.020000,,,0.020000,HARD,,
19,t19,Periodic,19,0.000000,0.008300,0.008300,0.010000,,,0.010000,HARD,,
20,t20,Aperiodic,17,0.000000,0.019800,0.019800,0.020000,0.020000,0.040000,0.020000,HARD,,
21,t21,Periodic,13,0.000000,0.012300,0.012300,0.030000,,,0.030000,HARD,,
22,t22,Aperiodic,6,0.000000,0.090500,0.090500,0.180000,0.180000,0.300000,0.180000,HARD,,
23,t23,Periodic,11,0.000000,0.007100,0.007100,0.060000,,,0.060000,HARD,,
24,t24,Periodic,8,0.000000,0.084400,0.084400,0.140000,,,0.140000,HARD,,
25,t25,Aperiodic,9,0.000000,0.027500,0.027500,0.120000,0.120000,0.220000,0.120000,HARD,,

