Task ID, Task Name,Task Type,Task Priority,Offset,Duration min,Duration max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Periodic,25,0.000000,0.000100,0.000300,0.010000,,,0.010000,HARD,,
2,t02,Periodic,12,0.000000,0.002000,0.002000,0.050000,,,0.050000,HARD,,
3,t03,Aperiodic,24,0.000000,0.000300,0.000300,0.010000,0.010000,0.030000,0.010000,HARD,,
4,t04,Periodic,8,0.000000,0.001300,0.001300,0.100000,,,0.100000,HARD,,
5,t05,Aperiodic,6,0.000000,0.010500,0.017500,0.360000,0.360000,0.600000,0.360000,HARD,,
6,t06,Aperiodic,5,0.000000,0.019600,0.019600,0.360000,0.360000,0.600000,0.360000,HARD,,
7,t07,Aperiodic,2,0.000000,0.078000,0.078000,0.520000,0.520000,0.880000,0.520000,HARD,,
8,t08,Aperiodic,3,0.000000,0.004700,0.004700,0.510000,0.510000,0.870000,0.510000,HARD,,
9,t09,Periodic,9,0.000000,0.002400,0.002400,0.070000,,,0.070000,HARD,,
10,t10,Periodic,23,0.000000,0.000100,0.000100,0.010000,,,0.010000,HARD,,
11,t11,Aperiodic,22,0.000000,0.000100,0.000100,0.010000,0.010000,0.030000,0.010000,HARD,,
12,t12,Aperiodic,7,0.000000,0.031100,0.031100,0.250000,0.250000,0.430000,0.250000,HARD,,
13,t13,Aperiodic,17,0.000000,0.004000,0.004000,0.030000,0.030000,0.050000,0.030000,HARD,,
14,t14,Aperiodic,11,0.000000,0.000200,0.000200,0.050000,0.050000,0.090000,0.050000,HARD,,
15,t15,Periodic,21,0.000000,0.000400,0.000400,0.010000,,,0.010000,HARD,,
16,t16,Aperiodic,4,0.000000,0.028900,0.028900,0.490000,0.490000,0.830000,0.490000,HARD,,
17,t17,Periodic,20,0.000000,0.000300,0.000300,0.010000,,,0.010000,HARD,,
18,t18,Aperiodic,10,0.000000,0.004700,0.004700,0.050000,0.050000,0.090000,0.050000,HARD,,
19,t19,Periodic,1,0.000000,0.008100,0.008100,0.700000,,,0.700000,HARD,,
20,t20,Aperiodic,16,0.000000,0.000400,0.000400,0.030000,0.030000,0.070000,0.030000,HARD,,
21,t21,Periodic,15,0.000000,0.001400,0.001400,0.030000,,,0.030000,HARD,,
22,t22,Periodic,13,0.000000,0.002500,0.002500,0.040000,,,0.040000,HARD,,
23,t23,Periodic,18,0.000000,0.000100,0.000100,0.020000,,,0.020000,HARD,,
24,t24,Periodic,19,0.000000,0.000400,0.000400,0.010000,,,0.010000,HARD,,
25,t25,Aperiodic,14,0.000000,0.000800,0.000800,0.030000,0.030000,0.050000,0.030000,HARD,,

