Task ID, Task Name,Task Type,Task Priority,Offset,Duration min,Duration max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Periodic,19,0.000000,0.000200,0.000200,0.020000,,,0.020000,HARD,,
2,t02,Aperiodic,25,0.000000,0.001100,0.001100,0.010000,0.010000,0.030000,0.010000,HARD,,
3,t03,Periodic,16,0.000000,0.002500,0.002500,0.030000,,,0.030000,HARD,,
4,t04,Aperiodic,8,0.000000,0.004700,0.004700,0.090000,0.090000,0.150000,0.090000,HARD,,
5,t05,Periodic,18,0.000000,0.000900,0.000900,0.020000,,,0.020000,HARD,,
6,t06,Periodic,1,0.000000,0.002700,0.002700,0.480000,,,0.480000,HARD,,
7,t07,Periodic,4,0.000000,0.021500,0.021500,0.200000,,,0.200000,HARD,,
8,t08,Periodic,24,0.000000,0.000100,0.000100,0.010000,,,0.010000,HARD,,
9,t09,Periodic,23,0.000000,0.000100,0.000100,0.010000,,,0.010000,HARD,,
10,t10,Aperiodic,3,0.000000,0.009800,0.009800,0.270000,0.270000,0.470000,0.270000,HARD,,
11,t11,Periodic,22,0.000000,0.000900,0.000900,0.010000,,,0.010000,HARD,,
12,t12,Periodic,7,0.000000,0.007300,0.007300,0.120000,,,0.120000,HARD,,
13,t13,Periodic,21,0.000000,0.000100,0.000100,0.010000,,,0.010000,HARD,,
14,t14,Periodic,20,0.000000,0.000300,0.000300,0.010000,,,0.010000,HARD,,
15,t15,Periodic,6,0.000000,0.010700,0.010700,0.150000,,,0.150000,HARD,,
16,t16,Periodic,15,0.000000,0.000100,0.000100,0.030000,,,0.030000,HARD,,
17,t17,Aperiodic,13,0.000000,0.004200,0.007000,0.050000,0.050000,0.090000,0.050000,HARD,,
18,t18,Periodic,2,0.000000,0.001300,0.001300,0.400000,,,0.400000,HARD,,
19,t19,Periodic,10,0.000000,0.000100,0.000100,0.060000,,,0.060000,HARD,,
20,t20,Periodic,17,0.000000,0.000300,0.000300,0.020000,,,0.020000,HARD,,
21,t21,Periodic,12,0.000000,0.001300,0.001300,0.050000,,,0.050000,HARD,,
22,t22,Periodic,11,0.000000,0.000300,0.000500,0.050000,,,0.050000,HARD,,
23,t23,Periodic,9,0.000000,0.001200,0.001200,0.080000,,,0.080000,HARD,,
24,t24,Periodic,14,0.000000,0.000600,0.000600,0.030000,,,0.030000,HARD,,
25,t25,Periodic,5,0.000000,0.011700,0.011700,0.160000,,,0.160000,HARD,,

