Run,countDM,numSol,ratioDM
1,12,40000,0.00029999999999999997
2,4,40000,0.00010000000000000000
3,54,40000,0.00135000000000000007
4,14,40000,0.00035000000000000000
5,13,40000,0.00032499999999999999
6,0,40000,0.00000000000000000000
7,59,40000,0.00147499999999999997
8,0,40000,0.00000000000000000000
9,66,40000,0.00164999999999999999
10,1,40000,0.00002500000000000000
11,16,40000,0.00040000000000000002
12,16,40000,0.00040000000000000002
13,48,40000,0.00119999999999999989
14,0,40000,0.00000000000000000000
15,2,40000,0.00005000000000000000
16,0,40000,0.00000000000000000000
17,339,40000,0.00847499999999999989
18,116,40000,0.00289999999999999980
19,10,40000,0.00025000000000000001
20,57,40000,0.00142500000000000005
21,241,40000,0.00602499999999999997
22,186,40000,0.00464999999999999962
23,271,40000,0.00677499999999999977
24,72,40000,0.00179999999999999995
25,268,40000,0.00670000000000000023
26,1,40000,0.00002500000000000000
27,11,40000,0.00027500000000000002
28,0,40000,0.00000000000000000000
29,68,40000,0.00169999999999999991
30,25,40000,0.00062500000000000001
31,4,40000,0.00010000000000000000
32,262,40000,0.00655000000000000027
33,12,40000,0.00029999999999999997
34,0,40000,0.00000000000000000000
35,2,40000,0.00005000000000000000
36,33,40000,0.00082500000000000000
37,2,40000,0.00005000000000000000
38,11,40000,0.00027500000000000002
39,18,40000,0.00044999999999999999
40,0,40000,0.00000000000000000000
41,0,40000,0.00000000000000000000
42,0,40000,0.00000000000000000000
43,1,40000,0.00002500000000000000
44,14,40000,0.00035000000000000000
45,8,40000,0.00020000000000000001
46,0,40000,0.00000000000000000000
47,0,40000,0.00000000000000000000
48,13,40000,0.00032499999999999999
49,0,40000,0.00000000000000000000
50,273,40000,0.00682500000000000034
