Run,countDM,numSol,ratioDM
1,217,40000,0.00542500000000000013
2,220,40000,0.00549999999999999968
3,2,40000,0.00005000000000000000
4,18,40000,0.00044999999999999999
5,202,40000,0.00504999999999999980
6,26,40000,0.00064999999999999997
7,0,40000,0.00000000000000000000
8,1,40000,0.00002500000000000000
9,1,40000,0.00002500000000000000
10,14,40000,0.00035000000000000000
11,75,40000,0.00187499999999999993
12,56,40000,0.00139999999999999999
13,60,40000,0.00150000000000000003
14,29,40000,0.00072499999999999995
15,59,40000,0.00147499999999999997
16,8,40000,0.00020000000000000001
17,49,40000,0.00122499999999999996
18,1,40000,0.00002500000000000000
19,30,40000,0.00075000000000000002
20,7,40000,0.00017500000000000000
21,0,40000,0.00000000000000000000
22,0,40000,0.00000000000000000000
23,0,40000,0.00000000000000000000
24,0,40000,0.00000000000000000000
25,0,40000,0.00000000000000000000
26,0,40000,0.00000000000000000000
27,0,40000,0.00000000000000000000
28,1,40000,0.00002500000000000000
29,2,40000,0.00005000000000000000
30,4,40000,0.00010000000000000000
31,3,40000,0.00007499999999999999
32,3,40000,0.00007499999999999999
33,0,40000,0.00000000000000000000
34,47,40000,0.00117500000000000005
35,38,40000,0.00095000000000000000
36,9,40000,0.00022499999999999999
37,0,40000,0.00000000000000000000
38,0,40000,0.00000000000000000000
39,0,40000,0.00000000000000000000
40,7,40000,0.00017500000000000000
41,0,40000,0.00000000000000000000
42,0,40000,0.00000000000000000000
43,154,40000,0.00385000000000000012
44,0,40000,0.00000000000000000000
45,1,40000,0.00002500000000000000
46,5,40000,0.00012500000000000000
47,2,40000,0.00005000000000000000
48,0,40000,0.00000000000000000000
49,32,40000,0.00080000000000000004
50,0,40000,0.00000000000000000000
