Task ID, Task Name,Task Type,Task Priority,Offset,Duration min,Duration max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Periodic,7,0.000000,0.000600,0.001200,0.040000,,,0.040000,HARD,,
2,t02,Periodic,4,0.000000,0.004300,0.007300,0.280000,,,0.280000,HARD,,
3,t03,Aperiodic,3,0.000000,0.035900,0.035900,0.280000,0.280000,0.480000,0.280000,HARD,,
4,t04,Aperiodic,5,0.000000,0.003900,0.003900,0.190000,0.190000,0.330000,0.190000,HARD,,
5,t05,Periodic,10,0.000000,0.000200,0.000200,0.010000,,,0.010000,HARD,,
6,t06,Aperiodic,6,0.000000,0.000400,0.000400,0.040000,0.040000,0.080000,0.040000,HARD,,
7,t07,Aperiodic,1,0.000000,0.042400,0.042400,0.410000,0.410000,0.690000,0.410000,HARD,,
8,t08,Periodic,9,0.000000,0.001900,0.001900,0.010000,,,0.010000,HARD,,
9,t09,Aperiodic,2,0.000000,0.075100,0.075100,0.350000,0.350000,0.590000,0.350000,HARD,,
10,t10,Periodic,8,0.000000,0.003000,0.003000,0.010000,,,0.010000,HARD,,

